trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.6556592205741436}",30,0,-132.74972465740143,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.7, 'e': 0.6491026283684022}",25,0,-5.645653602596891,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.6426116020847181}",25,0,-65.87111903802895,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.6361854860638709}",25,0,-55.710913689462274,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.7, 'e': 0.6298236312032323}",25,0,-124.43666113854042,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
47,False,"{'a': 0.7, 'e': 0.6235253948912}",25,12,-36.92552089965214,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.7, 'e': 0.617290140942288}",25,8,20.47132536848829,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.611117239532865}",25,0,-69.27543280349653,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.6050060671375364}",20,0,-72.35483655815166,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.598956006466161}",25,0,-54.35607395707655,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
52,False,"{'a': 0.7, 'e': 0.5929664464014994}",25,0,-86.72456559119824,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.5870367819374844}",20,0,-12.730831808797298,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.7, 'e': 0.5811664141181095}",20,11,-33.16533430629968,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.5753547499769285}",25,0,-91.23357284360758,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.7, 'e': 0.5696012024771592}",30,0,-61.54028361943732,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.7, 'e': 0.5639051904523875}",30,0,-17.817123792917968,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.5582661385478637}",25,0,-94.04069591613569,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.5526834771623851}",30,0,-65.68016597628738,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
60,False,"{'a': 0.7, 'e': 0.5471566423907612}",20,0,-85.95014996485085,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.7, 'e': 0.5416850759668536}",25,13,-42.27726709151664,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.7, 'e': 0.536268225207185}",20,8,-47.48103917524384,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
63,False,"{'a': 0.7, 'e': 0.5309055429551132}",25,5,-141.22643319512892,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",1
64,False,"{'a': 0.7, 'e': 0.525596487525562}",25,0,-102.62999434168438,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
65,False,"{'a': 0.7, 'e': 0.5203405226503064}",25,0,-94.29578856612635,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
66,False,"{'a': 0.7, 'e': 0.5151371174238033}",25,0,-81.2323366910801,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.5099857462495653}",20,0,-66.4236343496394,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
